,name,norm,1Ub_PS,1Ub_base,1Ub_h1,1Ub_hx,1Uc_PS,1Uc_base,1Uc_h1,1Uc_hx,1Ip_PS,1Ip_base,1Ip_h1,1Ip_hx,1Iz_PS,1Iz_base,1Iz_h1,1Iz_hx,2Ub_PS,2Ub_base,2Ub_h1,2Ub_hx,2Uc_PS,2Uc_base,2Uc_h1,2Uc_hx,2Ip_PS,2Ip_base,2Ip_h1,2Ip_hx,2Iz_PS,2Iz_base,2Iz_h1,2Iz_hx,3Ub_PS,3Ub_base,3Ub_h1,3Ub_hx,3Uc_PS,3Uc_base,3Uc_h1,3Uc_hx,3Ip_PS,3Ip_base,3Ip_h1,3Ip_hx,3Iz_PS,3Iz_base,3Iz_h1,3Iz_hx,4Ub_PS,4Ub_base,4Ub_h1,4Ub_hx,4Ip_PS,4Ip_base,4Ip_h1,4Ip_hx,4Iz_PS,4Iz_base,4Iz_h1,4Iz_hx,5Ip_PS,5Ip_base,5Ip_h1,5Ip_hx,5Iz_PS,5Iz_base,5Iz_h1,5Iz_hx,6Ip_PS,6Ip_base,6Ip_h1,6Ip_hx,6Iz_PS,6Iz_base,6Iz_h1,6Iz_hx,dId_PS,dId_base,dId_h1
0,00360b9210cb8222c1ae222dcf5a2f31,хз,s,100.0,81.72682798073343,32.647537761683964,s,шум,0.0121463203198015,0.0128875886565293,s,5.0,2.83466476192899,1.1306153743289542,,,,,s,100.0,81.71765999909346,32.64692671423995,s,шум,0.0114839508411489,0.0164603362745657,s,шум,0.0068697341897044,0.0079748325579332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,003ec00f98b30d1fa3a82a8a047c356e,хз,s,шум,0.0135669369367646,0.0178497274645396,,,,,s,шум,0.0059420475585212,0.0077387518055995,,,,,s,шум,0.014497301577819,0.0252568105320387,,,,,s,шум,0.0061603151979953,0.007308215573521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,003f755669e211d730d955c73ee608dd,хз,s,шум,0.0480661624248856,0.0393802389208912,s,шум,0.0441238662650556,0.0374275334753497,s,шум,0.0068591462556486,0.0072461843381771,,,,,s,шум,0.0433545349173776,0.0402335244605638,s,шум,0.0516852567760022,0.052320297433693,s,шум,0.0071912010365264,0.0084554320035841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,00424eff18f883e091351822642fc33c,НЕТ,s,100,80.53427393984967,34.33348237221667,,,,,s,?2,1.644603715343737,1.2987635355322982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0057e7e9651b925a482f96f38e948d3e,ДА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00668408504ddce0588082bab0d3d551,ДА,s,100,85.78133813936793,2.025746272406997,,,,,s,5,1.3575706704066082,0.4743292088402049,,,,,s,100,85.61707104814454,2.1668649774912883,,,,,s,5,1.667898161559486,0.4749902460338192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,006aae4b62197c7b1e779eaef8593e20,хз,s,шум,0.016476482104668,0.0193151204716865,s,шум,0.0152831028859254,0.0582933658007119,s,шум,0.0075754428393975,0.0078569139796924,,,,,s,шум,0.0147263866186182,0.0203747226579524,s,шум,0.0209409929632499,0.0727007747261516,s,шум,0.0075710833808005,0.0080297208545518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,006b53ba4d90c95a9d039851dc2d352f,хз,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,s,шум,0.0,0.0,s,100,141.45608402016072,0.0262797422825829,s,100,141.44446857537542,0.0285245857402515,s,5,7.072441660436839,0.0099040562130465,s,шум,7.091035420758332,0.0070553850863282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,006cea56d4b18e8b04d82f517e1ee4a3,raw,,,,,p,?1,0.2715159323760377,0.1048336312367778,p,?1,0.0370921907438193,0.0136269040045133,,,,,,,,,p,?1,0.2729206849310897,0.1061596778200869,s,шум,0.0002799331322665,0.000257172778391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,00730da486937e85ddb4bb70ff5cbd75,хз,s,100,81.72140877829558,0.252125353623898,s,400,326.58655324451894,11.090304220602968,s,шум,0.0059705327571264,0.0068191599958024,,,,,,,,,s,400,320.79712487007,7.13253232140497,s,шум,0.0060704509558405,0.0070299075615016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0093b239db1d048d06dc1a243f26d7bd,ДА,s,100,89.7499565872558,33.55980157532155,s,400,346.7189591713633,35.70448041076021,s,5,0.0988116777430875,0.0417825821249617,,,,,s,100,89.74421655432387,4.120792048248866,s,400,342.37804432630526,47.747698159074375,s,5,1.760568694614435,0.83526943956194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
