1,0,1,1,-4593,436,4171,15,-33,26,-4587,440,4174,13,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,625,-1,0,-4059.0000000000005,-576,4657,10,-27,28.999999999999996,-4054,-584,4658,12,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1250,0,1,-3391,-1608,5027,9,-24,34,-3387,-1625,5025,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1875,0,0,-2527,-2556,5115,5,-21,42,-2520,-2582,5116,7,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,2500,0,1,-1636,-3331,5004,1,-16,39,-1632,-3362,5001,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,3125,-1,0,-753,-3954.0000000000005,4745,-3,-10,36,-749,-3993.0000000000005,4740,-2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
7,3750,0,0,225,-4458,4270,-6,-1,30,229,-4502,4264,-9,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8,4375,1,0,1242,-4870,3662,-10,8,25,1243,-4919,3655,-15,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
9,5000,0,0,2268,-5075,2838,-12,16,24,2267,-5126,2827,-21,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
10,5625,0,1,3123,-5011,1915,-18,21,19,3119,-5064,1904,-27,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
11,6250,0,2,3789,-4817,1046,-19,25,12,3784,-4867,1035,-30,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
12,6875,1,1,4338,-4428,103,-20,30,3,4332,-4477,90,-32,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
13,7500,1,0,4781,-3856,-921,-20,30.999999999999996,-3,4774,-3897,-930,-30,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
14,8125,1,0,5072,-3109,-1967,-22,36,-11,5067,-3142,-1973,-28,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
15,8750,1,1,5066,-2201,-2874,-20,39,-17,5058,-2225,-2878,-26,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
16,9375,-1,1,4907,-1338,-3582,-18,38,-20,4903,-1351,-3583,-19,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
17,10000,0,1,4591,-431,-4173,-15,34,-26,4582,-433,-4177,-17,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
18,10625,-1,0,4053,580,-4655,-9,26,-28,4049,587,-4654,-9,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,11250,1,1,3389,1609,-5023,-9,26,-32,3382,1625,-5022,-9,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
20,11875,0,2,2525,2558,-5114,-6,23,-38,2518,2583,-5111,-6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
21,12500,1,0,1638,3328,-5000,-2,17,-36,1632,3360,-4998,-2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
22,13125,0,2,761,3946,-4741,2,10,-33,753,3985.0000000000005,-4739,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
23,13750,-1,0,-221,4458,-4272,5,2,-28,-225,4500,-4266,8,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
