1,0,97,-23,5166,-2367,-2741,17,71,-6,5145,-2478,-2679,-6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2,625,111.99999999999999,-40,5065,-1475,-3534,20,80,-22,5024,-1599,-3436,-6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
3,1250,114,-54,4789,-582,-4159,20,83,-34,4742,-696,-4055.0000000000005,-6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
4,1875,89,-53,4350,373,-4686,20,74,-39,4276,303,-4595,-7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
5,2500,68,-67,3700,1355,-5030,19,65,-50,3661,1324,-5004,-10,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
6,3125,73,-90,2743,2424,-5158,18,65,-65,2769,2370,-5165,-15,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
7,3750,73,-111.99999999999999,1810,3292,-5108,15,56,-78,1887,3202,-5114,-15,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
8,4375,66,-122,931,3944.0000000000005,-4893,13,52,-84,1011,3843,-4882,-15,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
9,5000,51,-109.00000000000001,-11,4489,-4508,8,39,-78,31,4421,-4482,-15,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
10,5625,6.999999999999999,-70,-941,4885,-3986.0000000000005,4,14,-61.99999999999999,-934,4858,-3947,-10,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
11,6250,-8,-72,-2024.9999999999998,5090,-3116,2,3,-63,-2016,5116,-3116,-6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
12,6875,-29,-73,-3033,5087,-2110,-4,-13,-60,-2957,5133,-2185,-2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
13,7500,-47,-68,-3773,4934,-1221,-5,-28.999999999999996,-53,-3645,4957,-1314,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
14,8125,-55.00000000000001,-55.99999999999999,-4377,4604,-290,-9,-40,-44,-4250,4630,-377,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
15,8750,-58,-16,-4836,4129,641,-12,-46,-22,-4728,4138,598,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
16,9375,-73,6,-5116,3373,1682,-15,-56,-8,-5070,3409,1669,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
17,10000,-97,24,-5166,2382,2727,-19,-70,9,-5150,2488,2670,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
18,10625,-111.99999999999999,44,-5065,1494,3518,-21,-79,24,-5030,1612,3424,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
19,11250,-114,55.99999999999999,-4797,600,4152,-24,-83,35,-4751,712,4048,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
20,11875,-91,55.00000000000001,-4358,-360,4681,-21,-73,41,-4289,-287,4588,8,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
21,12500,-69,68,-3717,-1337,5031,-19,-61.99999999999999,50,-3680,-1303,4999,11,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
22,13125,-72,94,-2761,-2403,5156,-18,-61.99999999999999,68,-2789,-2352,5165,12,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
23,13750,-74,112.99999999999999,-1821,-3279,5108,-14,-53,78,-1898,-3192,5116,14,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
24,14375,-68,123,-943,-3934.0000000000005,4899,-11,-50,86,-1026,-3833,4888,14,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
25,15000,-50,110.00000000000001,0,-4479,4514,-9,-38,81,-48,-4411,4489,15.000000000000002,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
26,15625,-5,70,921,-4876,3997.0000000000005,-5,-14,66,916,-4849,3956,10,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
27,16250,11,73,2010,-5090,3130,-2,-2,66,2007.9999999999998,-5118,3125,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
28,16875,27.999999999999996,75,3026,-5087,2119,4,15,63,2945,-5135,2199,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
29,17500,48,72,3765,-4939,1236,6,30,56,3630,-4962,1331,-3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
30,18125,55.99999999999999,56.99999999999999,4366,-4609,308,9,40,48,4242,-4638,393,-4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
31,18750,58,22,4838,-4137,-634,13,45,27,4731,-4143,-593,-3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
32,19375,73,-4,5116,-3389,-1665,16,57.00000000000001,11,5071,-3423,-1656,-6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
