1,0,89,116.99999999999999,3671,-4867,1248,-1,1,1,3669,-4919,1236,-10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2,625,110.00000000000001,92,4269,-4570,355,4,1,1,4265,-4617,343,-7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1250,121,37,4763,-4134,-575,6,1,0,4758,-4178,-585,-3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4,1875,147,-9,5046,-3410,-1580,9,0,-1,5039,-3446,-1590,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,2500,178,-44,5088,-2416,-2623,13,1,1,5081,-2440,-2629,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6,3125,198,-77,4987,-1532,-3409,15,0,1,4980,-1545,-3414,12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
7,3750,204,-102,4746,-647,-4058,17,2,1,4741,-651,-4059.9999999999995,17,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
8,4375,175,-111.00000000000001,4363,285,-4614,20,1,1,4355,289,-4614,18,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
9,5000,135,-137,3751,1214,-4939,19,0,0,3743,1227,-4939,18,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
10,5625,135,-172,2791,2285,-5067,18,0,0,2784,2310,-5064,18,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11,6250,123,-197,1848,3171,-5025,13,2,1,1840,3202,-5022,12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
12,6875,111,-211,976,3840.9999999999995,-4835,12,1,1,969.0000000000001,3881,-4832,12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
13,7500,81,-194,78,4396,-4503,9,-1,1,72,4440,-4498,11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
14,8125,13,-139,-832,4801,-4006.9999999999995,6,0,0,-836,4849,-3999.9999999999995,10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
15,8750,-21,-136,-1915,5016,-3147,4,1,1,-1917,5065,-3133,11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
16,9375,-58,-129,-2929,5013,-2136,0,1,0,-2928,5062,-2125,8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
17,10000,-89,-116.99999999999999,-3671,4868,-1250,-2,1,1,-3667,4917,-1238,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
18,10625,-109,-91,-4261,4574,-365,-3,0,1,-4259,4622,-354,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
19,11250,-121,-37,-4755,4139,560,-7,0,1,-4751,4182,569,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
20,11875,-148,11,-5038,3423,1561,-8,0,3,-5033,3456,1570,-3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
21,12500,-180,45,-5087,2430,2610,-11,0,1,-5082,2453,2615,-7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
22,13125,-200,78,-4989,1539,3406,-15,0,0,-4982,1551,3409,-14,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
23,13750,-206,105,-4748,650,4058,-19,0,2,-4744,652,4059.0000000000005,-19,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
24,14375,-178,114.99999999999999,-4363,-286,4616,-18,1,2,-4358,-291,4616,-19,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
25,15000,-135,137,-3762,-1209,4945,-21,1,1,-3752,-1224,4943,-19,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
26,15625,-135,172,-2793,-2283,5067,-17,-1,0,-2785,-2308,5065,-15,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
27,16250,-122.00000000000001,197,-1850,-3166,5024,-12,0,0,-1843,-3199,5022,-12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
28,16875,-110.00000000000001,210,-981,-3838,4835,-10,1,0,-973.9999999999999,-3875.9999999999995,4830,-12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
29,17500,-79,195,-86,-4390,4504,-10,0,0,-81,-4435,4501,-10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
30,18125,-10,140,817,-4793,4014,-6,0,1,818,-4842,4007,-13,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
31,18750,22,139,1902,-5013,3154,-4,1,2,1903,-5062,3145,-12,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
32,19375,59,132,2916,-5012,2147,-1,1,1,2914,-5064,2137,-10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
