1,0,-12,55.00000000000001,572,-4649,4119,-3,-22,61.99999999999999,518,-4609,4117,12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,625,4,48,1588,-4975,3434,-4,-8,57.99999999999999,1523,-4976,3474,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,1250,20,52,2589,-5071,2537,0,7,60,2540,-5100,2575,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,1875,33,50,3407,-4991,1640,4,24,57.99999999999999,3363,-5010,1661,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,2500,41,43,4065.9999999999995,-4716,707,4,36,49,4011,-4745,742,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,3125,40,24,4586,-4247,-282,8,39,34,4508,-4265,-241,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,3750,46,0,4954,-3649,-1248,11,44,15,4911,-3721,-1187,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,4375,61.00000000000001,-13,5138,-2805,-2279,12,61.00000000000001,-1,5095,-2873,-2220,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,5000,76,-26,5095,-1898,-3151,13,77,-19,5064,-1948,-3114,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,5625,82,-39,4894,-1007,-3847,16,84,-30.999999999999996,4859,-1063,-3793,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,6250,71,-38,4472,-31,-4408,16,77,-36,4423,-71,-4351,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,6875,47,-44,3929,918,-4829,14,57.99999999999999,-43,3920.9999999999995,846,-4776,-6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13,7500,48,-58.99999999999999,3131,1972.0000000000002,-5097,13,59,-55.00000000000001,3151,1912,-5077,-9,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,8125,52,-75,2201,2898,-5107,10,60,-73,2226,2861,-5106,-11,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,8750,48,-86,1345,3607,-4972,8,55,-83,1350,3576,-4951,-13,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16,9375,37,-81,393,4190,-4613,7,44,-82,401,4174,-4602,-15,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,10000,16,-55.00000000000001,-587,4658,-4112,4,26,-64,-534,4619,-4112,-12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18,10625,-4,-45,-1592,4985,-3438,4,10,-57.99999999999999,-1530,4980,-3470,-9,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19,11250,-17,-48,-2590,5075,-2537,-1,-7,-57.99999999999999,-2540,5101,-2575,-5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,11875,-30.999999999999996,-49,-3410,4989,-1634,-3,-21,-56,-3367,5010,-1656,-4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,12500,-41,-40,-4064,4711,-704,-4,-34,-48,-4015.9999999999995,4744,-736,-2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
22,13125,-37,-21,-4587,4247,281,-8,-39,-33,-4508,4262,244,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
23,13750,-47,1,-4949,3640,1253,-11,-45,-12,-4909,3718,1189,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24,14375,-61.99999999999999,13.999999999999998,-5133,2793,2289,-13,-61.99999999999999,2,-5098,2865,2229,-3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25,15000,-78,27.999999999999996,-5094,1895,3156,-12,-77,20,-5063,1941.9999999999998,3120,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,15625,-83,42,-4898,1007,3850,-16,-84,34,-4857,1054,3798,-2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
27,16250,-71,41,-4466,24,4413,-16,-77,39,-4422,66,4357,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
28,16875,-45,44,-3928.0000000000005,-928,4836,-15,-56,42,-3916.9999999999995,-860,4788,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,17500,-47,57.99999999999999,-3131,-1974,5098,-13,-57.99999999999999,56,-3149,-1913,5074,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30,18125,-50,77,-2196,-2903,5109,-9,-59,74,-2221,-2863,5104,14,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,18750,-48,86,-1331,-3617,4967,-8,-54,84,-1344,-3582,4950,12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,19375,-38,80,-387,-4191,4609,-7,-43,83,-395,-4178,4598,11,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,20000,-12,54,583,-4658,4115,-4,-21,63,532,-4616,4110,13,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
34,20625,5,47,1604,-4986,3429,-3,-8,59.00000000000001,1537,-4980,3464,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,21250,20,52,2602,-5073,2525,2,9,60,2551,-5102,2566,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,21875,33,51,3408,-4986,1637,3,26,59.00000000000001,3366,-5010,1653,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
37,22500,41,44,4065,-4713,705,5,36,50,4014,-4741,735,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
38,23125,40,24,4590,-4240,-293,7,39,34,4509,-4260,-249,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39,23750,47,1,4957,-3636,-1264,10,44,16,4914,-3714,-1197,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,24375,61.00000000000001,-13,5137,-2790,-2294,13,61.99999999999999,0,5098,-2859,-2235,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,25000,77,-26,5097,-1888,-3163,11,77,-17,5065,-1932,-3134,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,25625,83,-37,4891,-992,-3858,16,85,-30.999999999999996,4854,-1047,-3806,-1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,26250,70,-40,4463,-17,-4416,16,79,-38,4419,-62.00000000000001,-4356,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,26875,47,-43,3922,929,-4829,17,57.99999999999999,-42,3914.0000000000005,856,-4781,-8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45,27500,48,-58.99999999999999,3125,1979,-5096,13,60,-55.00000000000001,3142,1917,-5074,-12,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
